Net generation for all sectors monthly,,,,,,,,,,,,,,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=0000000000008&sec=g&linechart=ELEC.GEN.ALL-HI-99.M~ELEC.GEN.COW-HI-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PC-HI-99.M~ELEC.GEN.NG-HI-99.M~ELEC.GEN.OOG-HI-99.M~ELEC.GEN.NUC-HI-99.M~ELEC.GEN.HYC-HI-99.M~ELEC.GEN.WND-HI-99.M~ELEC.GEN.SUN-HI-99.M~ELEC.GEN.GEO-HI-99.M~ELEC.GEN.BIO-HI-99.M~ELEC.GEN.WWW-HI-99.M~ELEC.GEN.WAS-HI-99.M~ELEC.GEN.HPS-HI-99.M~ELEC.GEN.OTH-HI-99.M~ELEC.GEN.TSN-HI-99.M~ELEC.GEN.DPV-HI-99.M&columnchart=ELEC.GEN.ALL-HI-99.M&map=ELEC.GEN.ALL-HI-99.M&freq=M&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0,,,,,,,,,,,,,,,,
11:13:32 GMT-1000 (Hawaii-Aleutian Standard Time),,,,,,,,,,,,,,,,,,
Data source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,natural gas thousand megawatthours,other gases thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,all solar thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
13-Oct,917.70332,121.10066,656.96832,,,3.66634,,3.48287,33.24142,2.14465,24.582,32.99841,0,32.99841,,39.51865,,
13-Sep,879.00636,128.67485,596.85227,,,3.65812,,1.15405,52.18004,2.03659,22.76,33.83604,0,33.83604,,37.8544,,
13-Aug,924.3311,134.22916,625.64639,,,4.35547,,9.2635,60.59598,2.0438,18.939,30.63197,0,30.63197,,38.62584,,
13-Jul,910.19129,129.44515,616.44247,,,3.72566,,3.38454,53.43918,1.76189,25.316,32.69702,0,32.69702,,43.97938,,
13-Jun,839.45028,127.0716,569.33586,,,3.04832,,6.7639,64.87732,1.89276,24.461,23.79346,0,23.79346,,18.20606,,
13-May,864.58767,132.17098,600.30658,,,3.10948,,8.70976,34.19985,1.63909,25.732,30.73884,0,30.73884,,27.98109,,
13-Apr,827.54875,125.85071,584.6039,,,2.64969,,2.73247,24.74195,1.44733,25.082,30.01431,0,30.01431,,30.42638,,
13-Mar,809.00401,82.97795,616.86697,,,3.48112,,6.49997,25.79803,1.34054,18.95,21.50079,0,21.50079,,31.58864,,
13-Feb,743.51689,71.58245,526.25459,,,2.96775,,15.58234,57.34765,0.95622,21.371,16.53621,0,16.53621,,30.91869,,
13-Jan,830.96536,92.05577,632.01859,,,3.59016,,14.22645,27.96614,0.65859,17.057,18.04177,0,18.04177,,25.35089,,
12-Dec,1122.65697,132.83659,860.36188,,,3.58785,,14.45185,37.42035,0.47372,20.534,19.028,0,19.028,,33.96273,,
12-Nov,838.17744,128.4173,590.32244,,,3.2689,,2.48876,34.63478,0.32778,24.462,24.83507,0,24.83507,,29.42042,,
12-Oct,885.66438,132.18433,649.75971,,,3.33881,,1.71874,15.1464,0.44393,24.139,27.93663,0,27.93663,,30.99683,,
12-Sep,842.96652,127.73227,587.58627,,,3.93118,,5.06687,29.1799,0.47528,22.892,31.57981,0,31.57981,,34.52294,,
12-Aug,902.99003,135.32126,640.67593,,,4.4097,,9.45305,34.55219,0.47894,15.366,30.74052,0,30.74052,,31.99244,,
12-Jul,871.71991,131.99656,590.47726,,,3.99101,,11.22709,51.66758,0.52501,23.033,27.2192,0,27.2192,,31.58321,,
12-Jun,827.7309,128.61779,587.16681,,,4.21985,,10.21882,28.78773,0.55853,22.395,25.27221,0,25.27221,,20.49416,,
12-May,865.42373,131.41366,589.57552,,,3.79655,,10.58469,38.17965,0.52299,23.331,31.13499,0,31.13499,,36.88468,,
12-Apr,817.67242,123.52402,573.5596,,,3.84964,,15.72814,34.52808,0.34527,22.275,19.32996,0,19.32996,,24.53271,,
12-Mar,844.59816,121.03362,593.89044,,,3.91135,,21.36508,34.63598,0.23946,21.855,17.99483,0,17.99483,,29.67242,,
12-Feb,801.00653,118.8427,573.42693,,,4.40079,,10.06141,24.1415,0.13086,21.352,14.63089,0,14.63089,,34.01943,,
12-Jan,848.66167,125.42018,645.95759,,,4.33067,,2.2165,15.35986,0.08623,19.363,11.274,0,11.274,,24.65365,,
11-Dec,888.02845,61.55054,690.58565,,,2.97976,,20.59264,44.39234,0.12986,19.184,15.44297,0,15.44297,,33.17069,,
11-Nov,882.80177,102.81321,640.69894,,,2.60433,,19.10657,46.06088,0.15254,17.765,20.34651,0,20.34651,,33.25377,,
11-Oct,922.263,130.42428,680.16372,,,2.72682,,1.3458,31.61074,0.27381,19.773,29.34782,0,29.34782,,26.59702,,
11-Sep,900.0989,107.08435,695.36829,,,3.22489,,0.29949,20.6305,0.33169,18.222,29.69474,0,29.69474,,25.24296,,
11-Aug,946.17181,129.80479,689.17286,,,3.35561,,3.50666,39.13978,0.44588,19.792,33.03941,0,33.03941,,27.91483,,
11-Jul,914.18456,128.27315,669.37231,,,3.217,,1.90308,35.59505,0.42574,14.171,29.29706,0,29.29706,,31.93017,,
11-Jun,875.9645,124.73548,623.06552,,,3.14646,,11.13413,29.84866,0.50036,19.001,31.18177,0,31.18177,,33.35113,,
11-May,905.26963,134.2005,640.57065,,,2.82543,,15.18669,25.63427,0.42944,19.418,31.41695,0,31.41695,,35.58771,,
11-Apr,884.6422,127.69361,660.64977,,,2.81754,,8.39324,11.99783,0.3663,19.036,25.81144,0,25.81144,,27.87646,,
11-Mar,907.0836,114.60917,671.12948,,,3.07091,,9.23484,42.83228,0.26952,19.386,21.42422,0,21.42422,,25.12718,,
11-Feb,824.0001,126.40455,613.26393,,,2.64605,,2.01301,1.61991,0.19082,18.265,27.88918,0,27.88918,,31.70764,,
11-Jan,872.82441,136.44206,649.88412,,0,2.63539,,0.42459,11.44975,0.07704,19.875,17.73486,0,17.73486,,34.3016,,
10-Dec,904.2771,139.85271,674.19402,,,1.83086,,8.19967,7.47565,0.05105,19.025,19.31438,0,19.31438,,34.33375,,
10-Nov,880.23787,126.99511,671.50837,,,1.74693,,7.30508,14.90135,0.09603,18.45,16.78746,0.00916,16.7783,,22.44756,,
10-Oct,953.12911,135.15616,707.17402,,,1.56303,,4.97334,23.44991,0.10331,16.485,31.4991,0,31.4991,,32.72522,,
10-Sep,940.47912,128.24526,692.67848,,,1.85537,,4.25923,24.37948,0.19665,19.415,26.95466,0,26.95466,,42.495,,
10-Aug,978.51875,136.79311,710.05955,,,2.04365,,5.00953,36.53339,0.23219,20.485,34.48064,0,34.48064,,32.88171,,
10-Jul,936.3107,131.28318,707.06269,,,1.86474,,5.75607,28.43658,0.24442,20.715,21.26928,0,21.26928,,19.67874,,
10-Jun,911.1163,130.68476,668.32412,,,1.87242,,5.23053,25.89981,0.26381,19.204,29.63412,0,29.63412,,30.00273,,
10-May,919.57215,112.30143,696.47615,,,1.97376,,4.72686,20.70464,0.23272,18.872,33.09642,0,33.09642,,31.18816,,
10-Apr,856.70136,117.41091,635.00143,,,1.82773,,8.80211,28.2107,0.16896,10.706,24.94344,0,24.94344,,29.6301,,
10-Mar,870.72908,125.771,646.98664,,,1.96094,,7.13106,28.32581,0.11605,12.238,16.64853,0,16.64853,,31.55106,,
10-Feb,785.10061,121.66365,597.54311,,,1.6056,,3.76742,14.18897,0.0502,11.094,11.80211,0,11.80211,,23.38556,,
10-Jan,899.86382,139.35612,680.32795,,,1.77021,,5.26212,8.61372,0.0146,13.906,17.05264,0,17.05264,,33.56048,,
9-Dec,894.31642,136.82106,680.87112,,,1.93134,,3.99162,7.76073,0.02968,14.037,19.87878,,19.87878,,28.9951,,
9-Nov,915.78662,132.8036,672.10007,,,1.91329,,15.38734,30.64468,0.06132,16.975,17.00869,,17.00869,,28.89264,,
9-Oct,993.73101,137.68878,770.0234,,,2.0351,,10.55268,12.70416,0.10544,12.95,24.45612,,24.45612,,23.21534,,
9-Sep,956.02499,130.06299,711.85379,,,2.1492,,4.38381,30.40895,0.14635,12.296,30.0302,,30.0302,,34.69371,,
9-Aug,987.82554,135.31501,743.31174,,,2.12491,,3.63241,32.16204,0.18141,10.344,28.19343,,28.19343,,32.56059,,
9-Jul,978.9184,126.63823,741.31976,,,2.03333,,10.52702,33.22396,0.19142,9.049,25.64933,,25.64933,,30.28636,,
9-Jun,935.32626,129.16532,699.27518,,,1.83855,,6.08822,21.94791,0.1657,10.601,30.5915,,30.5915,,35.65287,,
9-May,920.86106,113.91076,730.97466,,,1.64008,,0.25291,0.80102,0.17314,10.905,26.51751,,26.51751,,35.68598,,
9-Apr,858.08568,123.65538,623.22455,,,1.59613,,18.58723,19.52883,0.15666,12.915,24.17686,,24.17686,,34.24504,,
9-Mar,887.27493,132.90533,632.1602,,,1.74909,,20.15235,23.56627,0.12204,18.236,23.24216,,23.24216,,35.14149,,
9-Feb,796.36612,89.36964,610.25197,,,1.63873,,10.49403,25.11994,0.04785,18.761,16.15754,,16.15754,,24.52542,,
9-Jan,886.01585,111.82981,673.74048,,,1.69509,,8.59902,13.55851,0.00899,20.522,18.52455,,18.52455,,37.53741,,
8-Dec,907.51986,136.92299,696.40804,,,2.4683,,9.77272,11.55364,0.018,20.65,16.85578,,16.85578,,12.87039,,
8-Nov,921.66534,139.82929,700.34987,,,2.37233,,2.52214,16.50582,0,19.241,27.87534,,27.87534,,12.96956,,
8-Oct,973.25134,133.13966,769.91533,,,2.65849,,0.41957,18.95377,0,17.993,22.02589,,22.02589,,8.14562,,
8-Sep,954.41522,127.15261,748.60813,,,2.70845,,0.00943,17.42353,0,18.562,26.45893,,26.45893,,13.49214,,
8-Aug,980.69966,141.26547,737.69275,,,3.78556,,4.50214,29.6503,0,19.89,29.23093,,29.23093,,14.68249,,
8-Jul,1015.16371,143.69383,771.02224,,,3.84832,,6.402,25.33013,0,20.963,29.40913,,29.40913,,14.49507,,
8-Jun,955.38028,138.48356,723.28376,,,3.73058,,0.94286,21.9662,0,19.598,32.5247,,32.5247,,14.85064,,
8-May,978.48276,136.11601,741.53446,,,3.44072,,10.13572,20.80241,0,19.892,31.75164,,31.75164,,14.80979,,
8-Apr,920.19253,133.52736,699.18832,,,3.36163,,7.029,18.8656,0,16.723,26.95238,,26.95238,,14.54524,,
8-Mar,963.36591,140.08081,736.14985,,,3.47815,,9.11272,16.64218,0,20.936,26.25592,,26.25592,,10.7103,,
8-Feb,880.77321,135.40803,663.19915,,,3.19348,,18.65444,11.7874,0,19.311,16.09548,,16.09548,,13.12424,,
8-Jan,925.47524,141.97229,682.58237,,,3.52633,,14.84058,30.54204,0,20.574,16.98697,,16.98697,,14.45066,,
7-Dec,964.50135,145.78789,717.7037,,,4.15254,,18.27578,28.27718,,17.448,18.45815,,18.45815,,14.39811,,
7-Nov,898.54808,91.08888,725.48682,,,4.6322,,4.2542,13.01339,,16.52,28.70816,,28.70816,,14.84443,,
7-Oct,1005.47173,87.57852,809.08833,,,4.04917,,10.0246,31.55557,,20.888,28.39125,,28.39125,,13.89628,,
7-Sep,993.67562,144.36601,772.31301,,,4.68779,,8.38994,25.0609,,16.56,14.973,,14.973,,7.32498,,
7-Aug,1041.68493,140.76713,815.07674,,,4.5393,,6.82634,23.86256,,20.793,21.63514,,21.63514,,8.18472,,
7-Jul,1017.92219,138.12162,781.14032,,,4.09804,,4.07482,31.79604,,20.702,26.71644,,26.71644,,11.27292,,
7-Jun,969.70504,138.82649,739.81921,,,3.22912,,2.01034,21.8306,,20.415,30.49566,,30.49566,,13.07864,,
7-May,979.27004,140.2913,751.49354,,,2.93726,,1.47222,16.25572,,21.113,30.99363,,30.99363,,14.71337,,
7-Apr,921.32652,134.28644,693.4951,,,2.23558,,9.38157,21.07112,,16.656,29.76226,,29.76226,,14.43846,,
7-Mar,949.52323,140.90556,735.698,,,3.86108,,7.11402,7.75417,,21.267,21.24891,,21.24891,,11.67451,,
7-Feb,838.19993,133.45633,644.21796,,,3.00836,,6.88726,8.77205,,18.632,12.85209,,12.85209,,10.37389,,
7-Jan,953.52091,143.45519,728.67456,,,3.79534,,13.63238,8.9347,,18.892,21.04241,,21.04241,,15.09433,,
6-Dec,949.50621,134.77044,728.51909,,,3.92682,,7.94733,10.92688,,17.637,29.59498,,29.59498,,16.18368,,
6-Nov,950.19846,134.32193,737.14558,,,4.08556,,8.0825,7.65905,,13.511,29.29768,,29.29768,,16.09516,,
6-Oct,991.56549,133.074,776.41206,,,3.85083,,9.09133,7.15717,,15.841,29.00151,,29.00151,,17.13759,,
6-Sep,992.22176,135.19803,776.19636,,,3.92427,,7.47079,11.35822,,14.187,27.4635,,27.4635,,16.42359,,
6-Aug,1118.09757,140.42751,906.77181,,,3.25067,,8.35493,13.70363,,15.734,20.39921,,20.39921,,9.45582,,
6-Jul,1031.99356,141.61145,807.72065,,,4.58201,,9.28553,15.19606,,17.621,24.09975,,24.09975,,11.87712,,
6-Jun,1000.22111,134.32711,782.9351,,,4.55782,,9.17476,9.45473,,20.613,23.82395,,23.82395,,15.33464,,
6-May,952.48796,127.35432,735.68629,,,4.88227,,13.03792,3.24063,,21.223,29.96952,,29.96952,,17.09402,,
6-Apr,894.86142,132.80144,690.19655,,,3.14223,,12.47186,0.35372,,17.031,26.21236,,26.21236,,12.65228,,
6-Mar,922.48707,135.53608,708.67097,,,1.1251,,13.69166,0.20673,,20.769,27.47872,,27.47872,,15.00882,,
6-Feb,819.45497,100.36015,646.69198,,,2.40503,,9.37077,0.18396,,17.706,28.63616,,28.63616,,14.10092,,
6-Jan,936.07807,98.81271,757.52709,,,3.02404,,12.10784,0.23323,,20.403,29.71495,,29.71495,,14.25522,,
5-Dec,997.28509,138.82138,789.30926,,,3.0515,,3.66748,0.41268,,20.972,26.72234,,26.72234,,14.32845,,
5-Nov,903.79725,136.78464,696.3177,,,3.21446,,8.22913,0.43223,,18.648,26.78348,,26.78348,,13.38762,,
5-Oct,969.19217,140.13837,767.22803,,,2.84412,,9.10953,0.55193,,14.917,22.24445,,22.24445,,12.15873,,
5-Sep,1051.218,131.02413,849.82747,,,2.9978,,8.82587,0.58531,,19.353,26.64904,,26.64904,,11.95538,,
5-Aug,1096.99442,137.24059,894.09733,,,3.1823,,9.79002,0.51334,,20.269,22.11735,,22.11735,,9.78449,,
5-Jul,1055.72265,141.34051,835.66304,,,3.38666,,12.0749,0.66651,,20.361,28.484,,28.484,,13.74602,,
5-Jun,951.03846,137.70391,737.31141,,,3.20788,,10.3933,0.77296,,18.143,29.79515,,29.79515,,13.71084,,
5-May,960.60737,141.13398,752.54813,,,3.55469,,10.91645,0.65362,,18.443,23.9336,,23.9336,,9.42392,,
5-Apr,886.80514,134.05598,696.33623,,,3.9402,,10.709,0.70855,,15.328,18.35413,,18.35413,,7.37305,,
5-Mar,888.27122,138.37174,677.68145,,,3.71323,,4.84347,0.5555,,19.018,29.63901,,29.63901,,14.44882,,
5-Feb,802.47195,120.28796,614.69292,,,4.2549,,3.87145,0.42635,,17.223,26.46196,,26.46196,,15.25343,,
5-Jan,959.40164,134.01486,756.57905,,,3.78549,,3.75734,0.35303,,18.922,28.55511,,28.55511,,13.43476,,
4-Dec,953.45035,144.22437,725.91382,,,4.51287,,13.83943,0.54472,,18.947,29.66515,,29.66515,,15.80299,,
4-Nov,940.23912,142.17409,724.53116,,,4.59333,,6.54249,0.36819,,18.134,29.26095,,29.26095,,14.63491,,
4-Oct,995.46866,145.68783,790.20037,,,3.91819,,1.80296,0.52959,,15.245,25.40543,,25.40543,,12.67929,,
4-Sep,1000.78888,140.92581,797.82497,,,1.10141,,0,0.61534,,17.834,27.76441,,27.76441,,14.72295,,
4-Aug,1032.49253,142.00557,817.13043,,,3.72419,,3.57109,0.83222,,18.753,29.09431,,29.09431,,17.38172,,
4-Jul,1006.47303,132.59938,800.22722,,,3.76558,,3.9696,1.03901,,18.501,29.39156,,29.39156,,16.97968,,
4-Jun,951.76642,128.58306,749.03318,,,3.32176,,8.10944,1.01379,,17.603,28.46008,,28.46008,,15.64211,,
4-May,938.89725,136.02926,728.14857,,,4.97057,,9.90079,0.63047,,14.503,29.57933,,29.57933,,15.13527,,
4-Apr,906.67172,108.56413,709.57935,,,4.04907,,20.59085,0.68091,,18.721,29.23974,,29.23974,,15.24667,,
4-Mar,905.14607,127.76527,718.57013,,,4.83144,,13.76205,0.56994,,18.581,16.03619,,16.03619,,5.03005,,
4-Feb,870.4349,125.83747,674.06268,,,4.74494,,7.36272,0.37828,,17.989,26.819,,26.819,,13.24081,,
4-Jan,908.57366,129.35508,709.47439,,,4.37478,,4.44936,0.29254,,18.477,28.11541,,28.11541,,14.0351,,
3-Dec,918.366,143.341,698.859,,,3.361,,10.205,0.135,,18.957,27.6492,,27.6492,,15.8588,,
3-Nov,907.466,134.122,696.673,,,3.324,,7.731,0.153,,18.486,32.4531,,32.4531,,14.5239,,
3-Oct,992.259,139.744,780.59,,,3.638,,5.93,0.093,,16.295,32.129,,32.129,,13.84,,
3-Sep,959.19,124.574,761.995,,,3.515,,6.097,0.103,,17.974,31.0966,,31.0966,,13.8364,,
3-Aug,985.653,140.208,767.921,,,3.609,,7.56,0.247,,18.999,31.3055,,31.3055,,15.8035,,
3-Jul,974.551,140.472,755.242,,,3.57,,8.838,0.174,,19.347,33.3285,,33.3285,,13.5805,,
3-Jun,920.525,136.721,705.798,,,3.369,,8.187,0.14,,17.872,32.34965,,32.34965,,16.08835,,
3-May,921.209,139.718,701.801,,,3.385,,8.226,0.131,,14.917,36.97115,,36.97115,,16.05885,,
3-Apr,863.887,133.725,658.541,,,3.172,,8.337,0.157,,16.283,30.1105,,30.1105,,13.5625,,
3-Mar,896.323,141.503,700.329,,,3.292,,6.976,0.072,,9.785,25.3737,,25.3737,,8.9923,,
3-Feb,784.072,127.281,609.983,,,2.875,,6.71,0.126,,5.487,17.26465,,17.26465,,14.34635,,
3-Jan,852.87,142.728,664.82,,,3.14,,5.708,0.043,,3.89,17.135,,17.135,,15.406,,
2-Dec,952.904,129.082,776.654,,,2.41,,6.018,0.105,,4.096,19.67512,,19.67512,,14.86388,,
2-Nov,944.493,131.816,776.073,,,3.427,,5.737,0.142,,3.1,13.9524,,13.9524,,10.2456,,
2-Oct,1012.934,104.839,861.942,,,3.701,,5.587,0.16,,3.745,18.69024,,18.69024,,14.26976,,
2-Sep,1007.821,133.295,813.22,,,3.35,,7.679,0.144,,3.619,32.65036,,32.65036,,13.86364,,
2-Aug,1061.995,129.464,867.184,,,3.775,,9.58,0.174,,3.614,34.35316,,34.35316,,13.85084,,
2-Jul,1034.145,138.6,826.719,,,2.422,,10.021,0.198,,3.438,36.89956,,36.89956,,15.84744,,
2-Jun,986.944,132.559,791.122,,,2.925,,7.853,0.198,,3.43,34.04416,,34.04416,,14.81284,,
2-May,986.886,140.21,787.065,,,3.497,,9.052,0.075,,3.279,30.16124,,30.16124,,13.54676,,
2-Apr,950.402,130.148,792.087,,,3.215,,5.364,0.047,,2.836,15.133,,15.133,,1.572,,
2-Mar,942.555,126.818,763.029,,,3.759,,9.296,0.111,,11.675,21.5892,,21.5892,,6.2778,,
2-Feb,841.556,115.001,667.867,,,3.5,,9.388,0.185,,13.415,20.88788,,20.88788,,11.31212,,
2-Jan,940.438,133.964,744.029,,,4.835,,9.492,0.078,,16.514,18.50768,,18.50768,,13.01832,,
1-Dec,868.634,128.96,675.866,,0,4.264,,7.325,0.187,,17.504,21.92611,,21.92611,,12.60189,,
1-Nov,863.437,139.771,659.81,,0,4.673,,9.381,0.147,,17.946,20.65517,,20.65517,,11.05383,,
1-Oct,914.094,133.282,704.728,,0,4.096,,9.88,0.25,,19.252,26.70334,,26.70334,,15.90266,,
1-Sep,898.73,136.116,700.479,,0,2.449,,8.257,0.23,,8.486,26.9145,,26.9145,,15.7985,,
1-Aug,957.816,139.326,746.864,,0,2.48,,9.768,0.235,,15.514,26.95828,,26.95828,,16.67072,,
1-Jul,936.028,137.736,725.066,,0,2.619,,7.624,0.185,,17.576,27.70373,,27.70373,,17.51827,,
1-Jun,873.879,136.812,659.671,,0,2.329,,7.376,0.101,,18.505,30.23986,,30.23986,,18.84514,,
1-May,885.862,140.633,668.662,,0,2.754,,8.926,0.142,,19.538,28.09281,,28.09281,,17.11419,,
1-Apr,835.878,110.75,653.38,,0,3.113,,9.808,0.265,,18.061,25.13804,,25.13804,,15.36296,,
1-Mar,873.314,136.641,691.012,,0,2.577,,8.008,0.16,,18.048,11.73094,,11.73094,,5.13706,,
1-Feb,800.847,130.576,612.729,,0,2.521,,7.784,0.111,,15.025,20.54733,,20.54733,,11.55367,,
1-Jan,924.573,134.161,725.556,,0,3.98,,6.613,0.109,,21.137,21.09826,,21.09826,,11.91874,,
